name,address,access,madori,land_area,house_area,built_date,strong_point,prefecture_name,price,zip_code,hours,age,notes,built_time,recommendation,shop_id,source,image_url1,image_url2,image_url3,image_url4
綾部市五泉町宮ノ腰,京都府綾部市五泉町宮ノ腰,あや「市野瀬」歩38分,4K,341.18,104.33,1868-1,建築年月日　不詳近くに川が流れ自然いっぱいの古民家,京都府,"","","","","","",great,"",https://suumo.jp/chukoikkodate/__JJ_JJ010FJ100_arz1060z2bsz1021z2ncz189710882.html?suit=nsuusbsp20121129001,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F060%2FN010000%2Fimg%2F882%2F89710882%2F89710882_0001.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F060%2FN010000%2Fimg%2F882%2F89710882%2F89710882_0002.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F060%2FN010000%2Fimg%2F882%2F89710882%2F89710882_0003.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F060%2FN010000%2Fimg%2F882%2F89710882%2F89710882_0003.jpg&w=500
盛岡市上田１-19-26,岩手県盛岡市上田１-19-26,岩手県交通「一高前」歩1分,5DK,241.76,141.31,1868-1,人気エリアの中古住宅　レトロな趣溢れる平屋建て古民家です。天井高く落ち着く懐かしい内装　雰囲気良好　居宅はもちろんですが事務所や店舗等又は併用でも価値ある立地と建物,岩手県,"","","","","","",great,"",https://suumo.jp/chukoikkodate/__JJ_JJ010FJ100_arz1020z2bsz1021z2ncz190346506.html?suit=nsuusbsp20121129001,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F020%2FN010000%2Fimg%2F506%2F90346506%2F90346506_0001.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F020%2FN010000%2Fimg%2F506%2F90346506%2F90346506_0002.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F020%2FN010000%2Fimg%2F506%2F90346506%2F90346506_0003.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F020%2FN010000%2Fimg%2F506%2F90346506%2F90346506_0003.jpg&w=500
茅野市湖東笹原,長野県茅野市湖東笹原,ＪＲ中央線「茅野」車11km,6DK,892.56,154.38,1868-1,古民家風、家庭菜園、田園風景、避暑地、庭１０坪以上、畑、駐車２台可、スキー場が近い、ゴルフ場が近い、閑静な住宅地、和室、平坦地、周辺交通量少なめ,長野県,"","","","","","",great,"",https://suumo.jp/chukoikkodate/__JJ_JJ010FJ100_arz1040z2bsz1021z2ncz188542120.html?suit=nsuusbsp20121129001,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F040%2FN010000%2Fimg%2F120%2F88542120%2F88542120_0001.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F040%2FN010000%2Fimg%2F120%2F88542120%2F88542120_0002.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F040%2FN010000%2Fimg%2F120%2F88542120%2F88542120_0003.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F040%2FN010000%2Fimg%2F120%2F88542120%2F88542120_0003.jpg&w=500
加賀市動橋町イ１８４－１外１１筆,石川県加賀市動橋町イ１８４－１外１１筆,ＪＲ北陸本線「動橋」歩3分,12DK,4818.9,2265.01,1868-1,◆登録文化財　１２点　江戸時代建築の古民家のお屋敷◆母屋・離れ座敷・道具蔵・石蔵・門・著名な襖絵◆駅近く敷地１，４５７坪　　◎築200年,石川県,"","","","","","",great,"",https://suumo.jp/chukoikkodate/__JJ_JJ010FJ100_arz1040z2bsz1021z2ncz188893403.html?suit=nsuusbsp20121129001,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F040%2FN010000%2Fimg%2F403%2F88893403%2F88893403_0001.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F040%2FN010000%2Fimg%2F403%2F88893403%2F88893403_0002.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F040%2FN010000%2Fimg%2F403%2F88893403%2F88893403_0003.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F040%2FN010000%2Fimg%2F403%2F88893403%2F88893403_0003.jpg&w=500
秩父市荒川上田野1657,埼玉県秩父市荒川上田野1657,秩父鉄道「武州中川」歩9分秩父鉄道「武州日野」歩15分,7DK,554.78,198.33,1868-3,土地100坪以上、家庭菜園、南側道路面す、古民家風、陽当り良好、温水洗浄便座、駐車３台以上可、即入居可、山が見える、南向き、和室、整形地、庭１０坪以上、庭、自然素材使用、,埼玉県,"","","","","","",great,"",https://suumo.jp/chukoikkodate/__JJ_JJ010FJ100_arz1030z2bsz1021z2ncz187828467.html?suit=nsuusbsp20121129001,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F030%2FN010000%2Fimg%2F467%2F87828467%2F87828467_0001.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F030%2FN010000%2Fimg%2F467%2F87828467%2F87828467_0002.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F030%2FN010000%2Fimg%2F467%2F87828467%2F87828467_0003.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F030%2FN010000%2Fimg%2F467%2F87828467%2F87828467_0003.jpg&w=500
豊前市大字下河内,福岡県豊前市大字下河内,ＪＲ日豊本線「宇島」車7.4kmＪＲ日豊本線「宇島」バス22分合岩小学校前歩2分ＪＲ日豊本線「豊前松江」車9.3km,6DK,779.01,142.76,1869-10,築149年の古民家！古民家や田舎暮らしに興味のある方や週末だけの2地域住居をお考えの方にお勧めです。東九州自動車道「豊前インター」から車で10分です。,福岡県,"","","","","","",great,"",https://suumo.jp/chukoikkodate/__JJ_JJ010FJ100_arz1090z2bsz1021z2ncz186036126.html?suit=nsuusbsp20121129001,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F090%2FN010000%2Fimg%2F126%2F86036126%2F86036126_0002.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F090%2FN010000%2Fimg%2F126%2F86036126%2F86036126_0003.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F090%2FN010000%2Fimg%2F126%2F86036126%2F86036126_0013.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F090%2FN010000%2Fimg%2F126%2F86036126%2F86036126_0013.jpg&w=500
北杜市須玉町上津金,山梨県北杜市須玉町上津金,ＪＲ中央線「長坂」車10km,6DK+S（納戸）,9999.99,183.42,1869-1,修繕不要の大型古民家、陽当たりが良く整備された約1町の農地付き,山梨県,"","","","","","",great,"",https://suumo.jp/chukoikkodate/__JJ_JJ010FJ100_arz1040z2bsz1021z2ncz188930583.html?suit=nsuusbsp20121129001,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F040%2FN010000%2Fimg%2F583%2F88930583%2F88930583_0001.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F040%2FN010000%2Fimg%2F583%2F88930583%2F88930583_0002.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F040%2FN010000%2Fimg%2F583%2F88930583%2F88930583_0003.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F040%2FN010000%2Fimg%2F583%2F88930583%2F88930583_0003.jpg&w=500
吉野郡天川村大字広瀬,奈良県吉野郡天川村大字広瀬,ＪＲ和歌山線「五条」車32km,3DK,2210.5,74.38,1874-1,■明治７年（築１４４年）建築の古民家■平成１１年に約７００万円の大改装済■自然素材！無垢の建具フローリング■伝統工法とんとん葺き屋根がおしゃれ！,奈良県,"","","","","","",great,"",https://suumo.jp/chukoikkodate/__JJ_JJ010FJ100_arz1060z2bsz1021z2ncz190314651.html?suit=nsuusbsp20121129001,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F060%2FN010000%2Fimg%2F651%2F90314651%2F90314651_0005.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F060%2FN010000%2Fimg%2F651%2F90314651%2F90314651_0006.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F060%2FN010000%2Fimg%2F651%2F90314651%2F90314651_0010.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F060%2FN010000%2Fimg%2F651%2F90314651%2F90314651_0010.jpg&w=500
金沢市小豆沢町ニ,石川県金沢市小豆沢町ニ,北陸鉄道「小豆沢口」歩9分,9K,384.96,366.67,1900-1,のどかな集落の土蔵付き古民家。,石川県,"","","","","","",great,"",https://suumo.jp/chukoikkodate/__JJ_JJ010FJ100_arz1040z2bsz1021z2ncz190634408.html?suit=nsuusbsp20121129001,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F040%2FN010000%2Fimg%2F408%2F90634408%2F90634408_0002.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F040%2FN010000%2Fimg%2F408%2F90634408%2F90634408_0003.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F040%2FN010000%2Fimg%2F408%2F90634408%2F90634408_0004.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F040%2FN010000%2Fimg%2F408%2F90634408%2F90634408_0004.jpg&w=500
倉敷市玉島柏島,岡山県倉敷市玉島柏島,ＪＲ山陽本線「新倉敷」歩67分,4K,864.14,182.93,1900-1,広々土地２６１坪の閑静な高台地＆古民家+納屋/畑付物件です,岡山県,"","","","","","",great,"",https://suumo.jp/chukoikkodate/__JJ_JJ010FJ100_arz1080z2bsz1021z2ncz188363267.html?suit=nsuusbsp20121129001,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F080%2FN010000%2Fimg%2F267%2F88363267%2F88363267_0001.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F080%2FN010000%2Fimg%2F267%2F88363267%2F88363267_0002.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F080%2FN010000%2Fimg%2F267%2F88363267%2F88363267_0003.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F080%2FN010000%2Fimg%2F267%2F88363267%2F88363267_0003.jpg&w=500
