name,strong_point,prefecture_id,price,zip_code,address,access,hours,age,madori,land_area,house_area,built_time,notes,recommendation,shop_id,source,image_url1,image_url2,image_url3,image_url4,built_date
高根町清里（清里駅),"築100年以上経過の平家古民家、陽当たりの良い敷地に約6坪と2坪の作業場/物置付き
清里駅から南に少し離れた静かな農村エリアにあり、南に開けた陽当たりの良い場所です。
築年数は経過していますが、草葺の屋根にトタンを被せ、床は下地から補修済み、給湯設備も修繕済みなのでそのままお住まいいただけます。
敷地内には駐車スペース3台分のほか、菜園スペースも10坪あります。
また約6坪と2坪の作業場/物置がありますので、荷物が多い方や趣味のスペースが欲しい方にもおススメです。",山梨県,690,,山梨県北杜市高根町清里,ＪＲ小海線「清里」歩62分,,101,5K,553.51,119,6211,設備：公営水道、本下水、個別LPG,great,,https://inaka.suumo.jp/chukoikkodate/__JJ_JJ010FJ100_arz1040z2bsz1021z2fmlgz1t001z2ncz189172291z2scz119209z2taz119z2tbcz180.html,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F040%2FN010000%2Fimg%2F291%2F89172291%2F89172291_0001.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F040%2FN010000%2Fimg%2F291%2F89172291%2F89172291_0002.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F040%2FN010000%2Fimg%2F291%2F89172291%2F89172291_0003.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F040%2FN010000%2Fimg%2F291%2F89172291%2F89172291_0004.jpg&w=500,
須山,"本格的な暖炉と檜風呂。
吹抜けとロフト付の昔ながらの住宅
駐車スペース有、２台可
ＬＤＫ２０畳以上です。
土地100坪以上の広い敷地。
暖炉をくべる、薪もたくさん御座います！
富士山が見える地域でのんびりくらし。
融雪対策があり、雪の日は朝早く管理会社が除雪いたします。
前道幅員６ｍ以上で、車通りやすいです。
和室９畳、押入れもたくさん。
浴室は広め（１坪以上）、檜風呂が洒落てます。
ロフト、吹抜けがあり、来客時はそちらで就寝。
緑豊かな住宅地で、自然に囲まれてます。
富士急による開発分譲地内。
周辺交通量少なめで隣家との間隔が大きいです。",静岡県,700,,静岡県裾野市須山,ＪＲ御殿場線「御殿場」車17.6km,,49,1LDK+S（納戸）,689,78.25,25538,設備：公営水道、集中浄化槽、集中LPG、駐車場：カースペース,great,,https://inaka.suumo.jp/chukoikkodate/__JJ_JJ010FJ100_arz1050z2bsz1021z2fmlgz1t001z2ncz188651681z2scz122220z2taz122z2tbcz180.html,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F050%2FN010000%2Fimg%2F681%2F88651681%2F88651681_0005.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F050%2FN010000%2Fimg%2F681%2F88651681%2F88651681_0004.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F050%2FN010000%2Fimg%2F681%2F88651681%2F88651681_0001.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F050%2FN010000%2Fimg%2F681%2F88651681%2F88651681_0006.jpg&w=500,
八束町江島（余子駅,"江島大橋、別名≪べた踏み坂≫の近く。
東側は中海に面しており、１年通して中海越しの風景を楽しめます。
釣り好きには嬉しいスポットですね♪
家は、築年数経っていますが、古民家風に良い雰囲気を出しています。
南向きの配置でお部屋も明るく、庭も広いので家庭菜園もやり放題。
歩いて１５秒で中海です。　境港～米子市～天気の良い日には、『大山』も見えるビューポイント。　
こんなところで生活しませんか！

駐車３台以上可、即入居可、土地100坪以上、オーシャンビュー、避暑地、南向き、陽当り良好、南側道路面す、周辺交通量少なめ、和室、庭１０坪以上、庭、家庭菜園、２階建、南庭、前面棟無、通風良好、眺望良好、平坦地、古民家風",島根県,776,,島根県松江市八束町江島,ＪＲ境線「余子」歩73分,,64,5DK,641,186.94,19725,設備：公営水道、本下水、個別LPG、駐車場：カースペース,great,,https://inaka.suumo.jp/chukoikkodate/__JJ_JJ010FJ100_arz1080z2bsz1021z2fmlgz1t001z2ncz184690280z2scz132201z2taz132z2tbcz180.html,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F080%2FN010000%2Fimg%2F280%2F84690280%2F84690280_0021.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F080%2FN010000%2Fimg%2F280%2F84690280%2F84690280_0063.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F080%2FN010000%2Fimg%2F280%2F84690280%2F84690280_0064.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F080%2FN010000%2Fimg%2F280%2F84690280%2F84690280_0015.jpg&w=500,
大字広瀬,"■明治７年（築１４４年）建築の古民家
■平成１１年に約７００万円の大改装済
■自然素材！無垢の建具フローリング
■伝統工法とんとん葺き屋根がおしゃれ！
■大自然に囲まれて生活しませんか？
■畑もできますよ♪
■浴室とウッドデッキ新設しました。
■星がきれいです。
■水がおいしいです。",奈良県,790,,奈良県吉野郡天川村大字広瀬,ＪＲ和歌山線「五条」車32km,,144,3DK,2210.5,74.38,-9494,駐車場：車庫,great,,https://inaka.suumo.jp/chukoikkodate/__JJ_JJ010FJ100_arz1060z2bsz1021z2fmlgz1t001z2ncz190314651z2scz129446z2taz129z2tbcz180.html,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F060%2FN010000%2Fimg%2F651%2F90314651%2F90314651_0005.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F060%2FN010000%2Fimg%2F651%2F90314651%2F90314651_0006.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F060%2FN010000%2Fimg%2F651%2F90314651%2F90314651_0010.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F060%2FN010000%2Fimg%2F651%2F90314651%2F90314651_0011.jpg&w=500,
大字求菩提,"築100年以上の古民家
水清く自然に恵まれた所にあり、修験道の霊山として名高い求菩提山の麓です。
他に家屋1棟、納屋、畑があります。
物件の築年は不詳です。
屋根は瓦にしています。
のんびりスローライフを楽しみたい方や別荘として古民家を改造されたり、敷地が広いので陶芸やパン工房などをされるのもおすすめです。
今では珍しい五右衛門風呂や火鉢・掘りごたつなどもあります。
※住居表示：求菩提12の奥になります。",福岡県,800,,福岡県豊前市大字求菩提,ＪＲ日豊本線「豊前松江」車1.6km,,102,4K+S（納戸）,856.58,80.16,5845,駐車場：カースペース,great,,https://inaka.suumo.jp/chukoikkodate/__JJ_JJ010FJ100_arz1090z2bsz1021z2fmlgz1t001z2ncz187095267z2scz140214z2taz140z2tbcz180.html,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F090%2FN010000%2Fimg%2F267%2F87095267%2F87095267_0015.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F090%2FN010000%2Fimg%2F267%2F87095267%2F87095267_0003.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F090%2FN010000%2Fimg%2F267%2F87095267%2F87095267_0011.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F090%2FN010000%2Fimg%2F267%2F87095267%2F87095267_0009.jpg&w=500,
長坂町白井沢,"レインボーラインから直ぐの好立地。建物は築４３年と古いが、土間のあるユニークな間取り。
敷地が３０２坪と広く、隣接地には家屋がない。
建物は築年数こそ経過していますが、非常に面白い間取りで当時にしては斬新な
建築であったことがうかがえます。梁と柱を強調した造りで、今の時代でも十分
通用する空間デザインとなっています。
さすがに古い建物ですので修繕が必要な箇所もあるでしょうし、冬場の快適な利
用は厳しいかもしれません。ただ、今の建物を活かしてうまくリフォームをすれ
ば、とても面白い物件になるものと思います。
小規模なカフェなどご商売をお考えの方にもお勧めしますが、複数台の駐車スペ
ースを確保するには土地造成が必要となるでしょう。
標高：約930ｍ

※敷地の西側と北側の隣接地には太陽光発電施設があります
※リフォーム必須",山梨県,800,,山梨県北杜市長坂町白井沢,ＪＲ小海線「甲斐小泉」歩19分,,44,2LDK+S（納戸）,1000,93.16,27030,設備：公営水道、個別浄化槽、個別LPG、駐車場：カースペース,great,,https://inaka.suumo.jp/chukoikkodate/__JJ_JJ010FJ100_arz1040z2bsz1021z2fmlgz1t001z2ncz189151097z2scz119209z2taz119z2tbcz180.html,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F040%2FN010000%2Fimg%2F097%2F89151097%2F89151097_0032.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F040%2FN010000%2Fimg%2F097%2F89151097%2F89151097_0021.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F040%2FN010000%2Fimg%2F097%2F89151097%2F89151097_0031.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F040%2FN010000%2Fimg%2F097%2F89151097%2F89151097_0033.jpg&w=500,
西原町（粟津駅）,"オール電化の中古住宅です。太陽光発電システムも完備してます（年間約15万円収益実績あり）。
静かに暮らしたい方、家族の多いご家庭、貸家にお住まいの方などにオススメです。
オール電化物件です。水廻り設備一部リフォーム済みです。
太陽光発電設備が完備されていますので、光熱費を抑えられ経済的です。余剰電力の買取が受けられます。年間約１５万円。",石川県,820,,石川県小松市西原町,ＪＲ北陸本線「粟津」歩56分,,53,11DK,409.91,328.9,24077,設備：公営水道、本下水、オール電化、駐車場：車庫,great,,https://inaka.suumo.jp/chukoikkodate/__JJ_JJ010FJ100_arz1040z2bsz1021z2fmlgz1t001z2ncz189212153z2scz117203z2taz117z2tbcz180.html,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F040%2FN010000%2Fimg%2F153%2F89212153%2F89212153_0008.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F040%2FN010000%2Fimg%2F153%2F89212153%2F89212153_0002.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F040%2FN010000%2Fimg%2F153%2F89212153%2F89212153_0003.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F040%2FN010000%2Fimg%2F153%2F89212153%2F89212153_0023.jpg&w=500,
道志村,"いろり付きの懐かしい古民家風物件。
敷地内には畑付き。周囲集落となっていますので寂しくありません。
椿の湯（温泉・宿泊施設）まで2.5km、車で10分ほどです。
物件は少し高台に位置し、周りは草木で囲まれ隠れ家的な雰囲気です。

◆古民家風物件
◆敷地内に畑付き、日当たり良好！
◆土地は広々230坪あり
◆周辺には定住者の物件が多く、集落となっているので寂しくありません",山梨県,980,,山梨県南都留郡道志村,富士急行「都留市」車23km,,18,3LDK,759,80.7,36770,設備：公営水道、個別浄化槽、個別LPG、駐車場：カースペース,great,,https://inaka.suumo.jp/chukoikkodate/__JJ_JJ010FJ100_arz1040z2bsz1021z2fmlgz1t001z2ncz187566835z2scz119420z2taz119z2tbcz180.html,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F040%2FN010000%2Fimg%2F835%2F87566835%2F87566835_0018.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F040%2FN010000%2Fimg%2F835%2F87566835%2F87566835_0002.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F040%2FN010000%2Fimg%2F835%2F87566835%2F87566835_0013.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F040%2FN010000%2Fimg%2F835%2F87566835%2F87566835_0010.jpg&w=500,
荒川上田野（武州中川駅）,"土地100坪以上、家庭菜園、南側道路面す、古民家風、陽当り良好、温水洗浄便座、駐車３台以上可、即入居可、山が見える、南向き、和室、整形地、庭１０坪以上、庭、自然素材使用、
本物件は秩父市荒川上田野に位置する広い土地＆古家付きの物件です。
立地条件も申し分なく市役所支所のすぐ裏手にあり、街中すぎずに山奥すぎずの田舎暮らしには非常に好条件の物件になります。家屋も情緒のある明治元年に建築されその後、S３３年と５５年に増改築され手入れの行き届いた家屋なので特に手直しを施す箇所はないので、非常に稀少な物件だと思います。
詳しくは「ちちぶ住む家バンク」を参照して下さい。
http://www.chichibu-sumuie.net/riyou/r-syousai.php?id=432",埼玉県,980,,埼玉県秩父市荒川上田野,"秩父鉄道「武州中川」歩9分
秩父鉄道「武州日野」歩15分
",,150,7DK,554.78,198.33,-11626,設備：公営水道、個別浄化槽、個別LPG,great,,https://inaka.suumo.jp/chukoikkodate/__JJ_JJ010FJ100_arz1030z2bsz1021z2fmlgz1t001z2ncz187828467z2scz111207z2taz111z2tbcz180.html,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F030%2FN010000%2Fimg%2F467%2F87828467%2F87828467_0001.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F030%2FN010000%2Fimg%2F467%2F87828467%2F87828467_0002.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F030%2FN010000%2Fimg%2F467%2F87828467%2F87828467_0003.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F030%2FN010000%2Fimg%2F467%2F87828467%2F87828467_0006.jpg&w=500,
長坂町中丸（長坂駅）,駐車３台以上可 / 土地100坪以上 / ゴルフ場が近い / 南向き / 陽当り良好 / 和室 / 整形地 / 庭１０坪以上 / 家庭菜園 / 浴室に窓 / 全居室６畳以上 / 平坦地 / 古民家風,山梨県,980,,山梨県北杜市長坂町中丸,ＪＲ中央線「長坂」歩31分,,37,4DK,866,97.09,29677,設備：公営水道、個別浄化槽、個別LPG、駐車場：カースペース,great,,https://inaka.suumo.jp/chukoikkodate/__JJ_JJ010FJ100_arz1040z2bsz1021z2fmlgz1t001z2ncz188833706z2scz119209z2taz119z2tbcz180.html,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F040%2FN010000%2Fimg%2F706%2F88833706%2F88833706_0001.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F040%2FN010000%2Fimg%2F706%2F88833706%2F88833706_0002.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F040%2FN010000%2Fimg%2F706%2F88833706%2F88833706_0004.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F040%2FN010000%2Fimg%2F706%2F88833706%2F88833706_0011.jpg&w=500,
