name,price,built_time,built_date
篠山市,1680,,
佐用郡佐用町,1880,,
篠山市春日江,4500,,
多可郡多可町,1480,,
丹波市青垣町,880,,
丹波市柏原町,700,,
姫路市夢前町,1100,,
宍粟市一宮町,380,,
相楽郡南山城村,1000,,
赤穂郡上郡町,350,,
たつの市龍野町,1450,,
三木市,1500,,
たつの市新宮町,380,,
佐用郡佐用町,300,,
丹波市氷上町,1280,,
福知山市小牧,400,,
佐用郡佐用町,650,昭和37年,1962-10-10
加西市,2150,明治21年10月,1888-10-10
姫路市林田町,260,,
神崎郡神河町,380,,
桜井市下居,1380,,
姫路市夢前町,550,,
妙義町大牛（松井田駅）,880,1900年1月,1900-01-10
高遠町藤澤台,200,1901年1月,1901-01-10
中北下（美作千代駅）,250,1935年2月,1935-02-10
下弓削（弓削駅）,250,1965年2月,1965-02-10
高遠町西高遠常盤,280,1960年12月,1960-12-01
宮沢字小沢,300,1964年1月,1964-01-10
長谷非持,300,1918年1月,1918-01-11
大文字町（小松駅,380,1973年12月,1973-12-01
高遠町藤澤御堂垣外,450,1921年,1921-10-10
五泉町太郎垣,680,2008年1月,2008-01-10
高根町清里（清里駅),690,1917年1月,1917-01-10
須山,700,1969年12月,1969-12-10
八束町江島（余子駅,776,1954年1月,1954-01-10
大字広瀬,790,1874年1月,1874-01-10
大字求菩提,800,1916年1月,1916-01-10
長坂町白井沢,800,1974年1月,1974-01-10
西原町（粟津駅）,820,1965年12月,1965-12-01
道志村,980,2000年9月,2000-09-01
荒川上田野（武州中川駅）,980,1868年3月,1868-03-01
長坂町中丸（長坂駅）,980,1981年4月,1981-04-10
水口,1080,1962年5月,1962-05-01
永井町（大聖寺駅）,1198,1988年6月,1988-06-01
大字軽井沢（軽井沢駅）,1250,1979年7月,1979-07-01
二丈波呂（一貴山駅）,1255,1912年1月,1912-01-10
庄瀬,1380,2002年1月,2002-01-10
峰岡,1380,1927年1月,1927-01-10
大字伊保田,1500,1913年8月,1913-08-01
宇佐美(宇佐美駅),1530,1988年12月,1988-12-01
東三谷（打田駅）,1580,1967年6月,1967-06-01
大井,1600,1937年1月,1937-01-10
須山,1800,2006年3月,2006-03-01
溝辺町,3140,1963年1月,1963-01-10
山北（津山駅）,3200,1952年1月,1952-01-10
上多賀,3260,1992年6月,1992-06-10
大字西有田石松町（日田駅）,3300,2000年,2000-10-01
南野６（四条畷駅）,3490,1979年2月,1979-02-01
大字上赤岩（越谷レイクタウン駅）,3500,1972年12月,1972-12-01
津市白山町,800,昭和28年,1953-01-01
津市美杉町,280,,
津市美杉町,350,,
津市美杉町,260,,
津市大里町,480,,
津市美里町,1280,昭和25年ごろ,1950-01-01
津市美杉町,485,,
伊賀市島ヶ原,850,,
津市美里町,800,,
津市美杉町,880,,
津市美杉町,640,,
伊賀市,1580,昭和32年11月,1957-11-01
松阪市飯南町,410,,
松阪市上ノ庄町,350,,
高山市荘川町,600,,
松阪市飯南町,300,,
伊賀市種生,1480,昭和33年,1958-01-01
津市美杉町,230,,
北牟婁郡紀北町,300,,
津市美杉町,680,,
高山市松之木町,2500,昭和58年,1983-01-01
飛騨市宮川町,1940,明治30年,1897-01-01
八女市星野村,1880,1900年04月,1900-04-01
苫田郡鏡野町,450,,
福山市沼隈町,700,,
備前市閑谷,1580,,
三次市甲奴町,600,,
新見市新見,3000,,
美作市小房,1980,,
熊谷市箕輪,7800,,
安房郡鋸南町,1820,嘉永3年,1849-01-01
上田市中丸子,1500,,
熊谷市玉作,2980,,
中野市壁田,480,,
上田市東内,360,,
長野市豊野町,1350,大正15年,1926
上水内郡信濃町,550,昭和35年10月30日,1960-10-30
入間郡越生町,1280,,
山梨市牧丘町,398,,
長野市戸隠,330,,
韮崎市岩下,690,昭和元年新築,1926-01-01
さくら市喜連川町,300,,
上田市真田町,300,,
山梨市切差,750,,
上田市住吉,550,明治28年,1895-01-01
千曲市倉科,1380,,
長野市中条,498,,
北相馬郡利根町,4000,1884年(明治17年),1884-01-01
桜川市入野,12000,1840年5月,1840-05-01
月岡,3800,1965年1月,1965-01-01
本町３（古河駅）,3998,1980年8月,1980-08-01
